order_id,product_id,quantity,unit_price,discount,cost_ratio,line_revenue,line_cost,line_profit
O500000,P1025,1,102837.58,0.0,0.7355279919493976,102837.58,75639.92,27197.66
O500000,P1030,3,156682.48,0.0,0.7394127330060245,470047.44,347559.06,122488.38
O500000,P1037,3,241151.1,0.1,0.5859394451435066,651107.97,423899.83,227208.14
O500000,P1043,4,198465.41,0.05,0.7711867280831521,754168.56,612215.56,141953.0
O500001,P1012,3,67796.38,0.0,0.5840869852941172,203389.14,118796.95,84592.19
O500001,P1026,1,248486.7,0.0,0.6554137653234176,248486.7,162861.6,85625.1
O500001,P1055,2,96331.16,0.1,0.7765228251054601,173396.09,149606.69,23789.4
O500001,P1115,4,20238.42,0.0,0.6854505648998874,80953.68,55489.75,25463.93
O500002,P1047,1,219764.28,0.0,0.7186367570312463,219764.28,157930.69,61833.59
O500002,P1072,4,214074.64,0.0,0.7618614434368767,856298.56,652380.86,203917.7
O500002,P1038,3,227725.83,0.0,0.6673534475117338,683177.49,455920.85,227256.64
O500002,P1065,1,104265.72,0.0,0.5994632611086205,104265.72,62503.47,41762.25
O500002,P1082,1,8702.56,0.05,0.7167936318742605,8267.43,6237.94,2029.49
O500003,P1076,2,19364.57,0.0,0.7225548252380762,38729.14,27983.93,10745.21
O500003,P1097,2,207803.45,0.0,0.6101429477936221,415606.9,253579.62,162027.28
O500003,P1100,1,185515.9,0.0,0.625330263452961,185515.9,116008.71,69507.19
O500003,P1110,4,25796.76,0.0,0.6367605114805803,103187.04,65705.43,37481.61
O500003,P1099,3,7521.56,0.0,0.7473250498742916,22564.68,16863.15,5701.53
O500004,P1078,4,114286.49,0.0,0.5272909545280569,457145.96,241048.93,216097.03
O500005,P1109,2,154946.61,0.05,0.7092491030865724,294398.56,219791.49,74607.07
O500005,P1092,4,55833.42,0.0,0.7254465672112869,223333.68,162016.65,61317.03
O500005,P1018,3,141196.37,0.0,0.5924379222811558,423589.11,250950.25,172638.86
O500006,P1047,1,219764.28,0.05,0.5076513008394501,208776.07,111563.62,97212.45
O500007,P1081,1,231890.12,0.0,0.7747623701962847,231890.12,179659.74,52230.38
O500007,P1108,1,212096.67,0.1,0.6826070387601064,190887.0,144778.68,46108.32
O500007,P1059,1,99088.96,0.0,0.7345033763904325,99088.96,72781.18,26307.78
O500008,P1082,4,8702.56,0.0,0.6681234530046833,34810.24,23257.54,11552.7
O500008,P1047,3,219764.28,0.05,0.7098225605920606,626328.2,467980.93,158347.27
O500008,P1085,4,181785.91,0.1,0.7175172500816882,654429.28,521738.1,132691.18
O500009,P1063,1,216931.98,0.0,0.5284446938991927,216931.98,114636.55,102295.43
O500009,P1056,2,74302.75,0.1,0.5003274623068871,133744.95,74351.41,59393.54
O500010,P1011,3,78373.98,0.05,0.6927952499241705,223365.84,162891.36,60474.48
O500010,P1074,2,212354.34,0.0,0.6022638140921714,424708.68,255786.67,168922.01
O500011,P1113,3,104255.59,0.1,0.629576121511025,281490.09,196910.49,84579.6
O500012,P1009,4,209077.89,0.0,0.5425599758485417,836311.56,453749.18,382562.38
O500012,P1079,3,129566.39,0.0,0.7102097963306169,388699.17,276057.96,112641.21
O500012,P1115,1,20238.42,0.05,0.5013706587772329,19226.5,10146.95,9079.55
O500012,P1030,1,156682.48,0.15,0.7949655694388633,133180.11,124557.18,8622.93
O500012,P1018,2,141196.37,0.0,0.659366775164578,282392.74,186200.39,96192.35
O500013,P1021,2,38242.39,0.05,0.5811944039654062,72660.54,44452.53,28208.01
O500013,P1097,3,207803.45,0.0,0.5361707050865345,623410.35,334254.37,289155.98
O500014,P1075,4,223700.19,0.0,0.5863520879230406,894800.76,524668.29,370132.47
O500014,P1112,2,23101.74,0.0,0.7345272170525373,46203.48,33937.71,12265.77
O500014,P1053,4,216432.69,0.0,0.6829631381924318,865730.76,591262.2,274468.56
O500014,P1099,1,7521.56,0.0,0.5900773286265603,7521.56,4438.3,3083.26
O500015,P1039,1,181647.24,0.05,0.6028592173837587,172564.88,109507.71,63057.17
O500015,P1067,4,192073.84,0.05,0.7102720052388363,729880.59,545698.69,184181.9
O500016,P1099,3,7521.56,0.0,0.6649650678463257,22564.68,15004.72,7559.96
