order_id,order_datetime,customer_id,channel,payment_method,status
O500000,2025-01-15 00:00:00,C10290,Marketplace,Credit Card,Completed
O500001,2024-05-30 07:00:00,C10670,Mobile App,Debit Card,Completed
O500002,2024-12-01 03:00:00,C10411,Web,Debit Card,Completed
O500003,2024-01-22 18:00:00,C10614,Instagram,Credit Card,Completed
O500004,2024-09-03 00:00:00,C10896,whatsapp,Credit Card,Completed
O500005,2025-05-03 03:00:00,C10280,Mobile App,Cash,Completed
O500006,2025-06-13 22:00:00,C10042,Instagram,Transfer,Completed
O500007,2024-07-22 16:00:00,C10485,Mobile App,Credit Card,Pending
O500008,2025-02-13 05:00:00,C10595,Mobile App,Debit Card,Completed
O500009,2024-08-31 00:00:00,C10702,Mobile App,Credit Card,Completed
O500010,2025-06-18 04:00:00,C10050,Web,Credit Card,Completed
O500011,2024-10-23 18:00:00,C10897,Web,Debit Card,Refunded
O500012,2024-08-31 10:00:00,C10209,Web,MercadoPago,Completed
O500013,2024-02-24 20:00:00,C10125,Mobile App,Credit Card,Completed
O500014,2025-04-05 09:00:00,C10491,Web,MercadoPago,Completed
O500015,2025-07-04 00:00:00,C10508,Web,Credit Card,Completed
O500016,2024-02-16 20:00:00,C10580,WhatsApp,Credit Card,Pending
O500017,2024-08-22 05:00:00,C10776,Web,Credit Card,Cancelled
O500018,2024-08-13 23:00:00,C10257,Mobile App,Credit Card,Pending
O500019,2024-04-17 19:00:00,C10187,Web,MercadoPago,Refunded
O500020,2025-01-18 23:00:00,C10229,Web,Debit Card,Cancelled
O500021,2024-08-24 08:00:00,C10188,Marketplace,Credit Card,Completed
O500022,2024-02-27 10:00:00,C10414,Mobile App,Cash,Completed
O500023,2024-05-20 14:00:00,C10009,Marketplace,MercadoPago,Completed
O500024,2024-03-04 07:00:00,C10113,Web,MercadoPago,Pending
O500025,2024-08-28 17:00:00,C10075,Mobile App,MercadoPago,Completed
O500026,2024-11-26 15:00:00,C10675,Web,Credit Card,Completed
O500027,2024-09-10 21:00:00,C10501,Web,MercadoPago,Completed
O500028,2024-12-16 18:00:00,C10084,Web,Transfer,Completed
O500029,2024-08-11 03:00:00,C10048,Web,MercadoPago,Completed
O500030,2024-07-26 00:00:00,C10494,Web,MercadoPago,Completed
O500031,2025-01-13 11:00:00,C10837,Web,Credit Card,Completed
O500032,2024-08-20 06:00:00,C10688,WhatsApp,MercadoPago,Completed
O500033,2024-06-18 16:00:00,C10386,Web,Credit Card,Completed
O500034,2025-07-09 04:00:00,C10388,Web,Credit Card,Completed
O500035,2024-04-04 01:00:00,C10217,Web,Credit Card,Cancelled
O500036,2025-04-02 12:00:00,C10700,Mobile App,MercadoPago,Completed
O500037,2024-12-23 20:00:00,C10345,Web,Credit Card,Completed
O500038,2025-07-12 19:00:00,C10229,Instagram,Debit Card,Completed
O500039,2025-03-03 22:00:00,C10254,WhatsApp,Credit Card,Completed
O500040,2025-06-23 00:00:00,C10235,Web,Cash,Completed
O500041,2024-07-03 08:00:00,C10025,Mobile App,Credit Card,Completed
O500042,2024-05-14 21:00:00,C10583,Web,MercadoPago,Completed
O500043,2025-07-27 18:00:00,C10260,Mobile App,MercadoPago,Completed
O500044,2024-06-11 05:00:00,C10765,Web,Credit Card,Completed
O500045,2025-07-05 15:00:00,C10270,Web,Credit Card,Completed
O500046,2024-03-24 13:00:00,C10122,Web,Transfer,Completed
O500047,2024-03-25 00:00:00,C10655,Mobile App,MercadoPago,Pending
O500048,2025-04-18 11:00:00,C10256,Web,MercadoPago,Completed
O500049,2025-03-28 12:00:00,C10655,Web,Credit Card,Completed
O500050,2025-02-23 14:00:00,C10420,Mobile App,MercadoPago,Completed
O500051,2025-01-26 04:00:00,C10258,Mobile App,Credit Card,Completed
O500052,2024-03-14 20:00:00,C10046,Instagram,Debit Card,Completed
O500053,2024-12-14 01:00:00,C10862,Web,MercadoPago,Completed
O500054,2024-06-14 16:00:00,C10524,Marketplace,Credit Card,Completed
O500055,2024-03-13 23:00:00,C10887,Mobile App,MercadoPago,Completed
O500056,2025-01-08 15:00:00,C10207,Web,Debit Card,Completed
O500057,2024-11-05 14:00:00,C10310,Mobile App,MercadoPago,Completed
O500058,2024-10-25 18:00:00,C10746,Web,Credit Card,Completed
O500059,2025-07-09 19:00:00,C10148,Instagram,Credit Card,Refunded
O500060,2024-09-26 13:00:00,C10833,Web,MercadoPago,Completed
O500061,2025-01-15 11:00:00,C10437,Mobile App,Credit Card,Completed
O500062,2024-05-14 04:00:00,C10154,Web,Credit Card,Completed
O500063,2024-01-23 11:00:00,C10677,WhatsApp,Cash,Completed
O500064,2025-06-30 05:00:00,C10089,Web,Credit Card,Completed
O500065,2024-03-01 21:00:00,C10697,WhatsApp,Cash,Completed
O500066,2024-08-04 00:00:00,C10829,Instagram,Credit Card,Completed
O500067,2024-12-22 03:00:00,C10357,Web,Credit Card,Completed
O500068,2025-05-06 12:00:00,C10173,Marketplace,MercadoPago,Completed
O500069,2025-04-24 19:00:00,C10216,WhatsApp,Transfer,Completed
O500070,2024-01-10 18:00:00,C10455,Web,Debit Card,Completed
O500071,2024-03-05 12:00:00,C10775,Web,Debit Card,Completed
O500072,2024-11-07 16:00:00,C10608,Mobile App,MercadoPago,Completed
O500073,2025-03-04 16:00:00,C10628,Web,Credit Card,Completed
O500074,2024-06-24 13:00:00,C10198,Web,Credit Card,Completed
O500075,2025-03-04 21:00:00,C10831,Web,Credit Card,Completed
O500076,2024-03-10 17:00:00,C10485,Web,Debit Card,Completed
O500077,2024-10-06 12:00:00,C10532,Web,Credit Card,Completed
O500078,2025-07-10 11:00:00,C10199,web,Credit Card,Completed
O500079,2024-11-28 14:00:00,C10370,Instagram,Debit Card,Cancelled
O500080,2024-03-28 12:00:00,C10852,Marketplace,Credit Card,Completed
O500081,2025-05-08 17:00:00,C10447,Web,Credit Card,Completed
O500082,2025-06-19 05:00:00,C10247,Mobile App,Transfer,Completed
O500083,2025-05-06 04:00:00,C10787,Mobile App,Credit Card,Completed
O500084,2024-06-05 04:00:00,C10263,WhatsApp,MercadoPago,Completed
O500085,2024-05-12 05:00:00,C10057,Web,Transfer,Completed
O500086,2024-03-16 15:00:00,C10301,Web,Credit Card,Pending
O500087,2024-06-09 01:00:00,C10030,Instagram,Debit Card,Refunded
O500088,2025-02-28 21:00:00,C10497,Instagram,Credit Card,Completed
O500089,2024-11-30 00:00:00,C10248,Marketplace,MercadoPago,Completed
O500090,2024-10-19 03:00:00,C10604,Marketplace,Cash,Completed
O500091,2024-07-06 05:00:00,C10776,Web,Debit Card ,Completed
O500092,2024-01-29 02:00:00,C10270,Mobile App,Transfer,Completed
O500093,2024-12-03 00:00:00,C10605,Web,Credit Card,Completed
O500094,2024-12-23 10:00:00,C10665,Web,Credit Card,Completed
O500095,2024-03-30 22:00:00,C10393,Marketplace,MercadoPago,Refunded
O500096,2024-04-20 21:00:00,C10796,Web,Credit Card,Completed
O500097,2024-03-27 00:00:00,C10501,Mobile App,Credit Card,Completed
O500098,2025-05-16 19:00:00,C10591,Instagram,Credit Card,Completed
O500099,2024-05-15 13:00:00,C10803,Web,Transfer,Completed
O500100,2024-07-26 11:00:00,C10083,WhatsApp,Credit Card,Refunded
O500101,2024-11-16 23:00:00,C10364,WhatsApp,MercadoPago,Pending
O500102,2025-06-18 12:00:00,C10885,Mobile App,Credit Card,Completed
O500103,2025-06-03 02:00:00,C10548,Web,Credit Card,Completed
O500104,2025-01-07 03:00:00,C10341,Web,Transfer,Completed
O500105,2024-02-28 09:00:00,C10838,Web,Credit Card,Completed
O500106,2024-05-15 19:00:00,C10406,Web,Transfer,Completed
O500107,2025-03-12 05:00:00,C10424,Web,Credit Card,Completed
O500108,2025-05-19 00:00:00,C10743,WhatsApp,Credit Card,Completed
O500109,2024-06-12 11:00:00,C10092,Web,Credit Card,Completed
O500110,2024-06-24 14:00:00,C10847,Marketplace,MercadoPago,Completed
O500111,2024-05-14 11:00:00,C10613,Web,Debit Card,Completed
O500112,2025-04-04 07:00:00,C10411,Mobile App,MercadoPago,Completed
O500113,2025-05-12 22:00:00,C10431,Instagram,Credit Card,Completed
O500114,2025-03-22 00:00:00,C10677,Web,Debit Card,Completed
O500115,2025-03-06 23:00:00,C10158,Web,Debit Card,Completed
O500116,2025-05-09 11:00:00,C10013,Mobile App,MercadoPago,Completed
O500117,2024-04-24 09:00:00,C10372,Marketplace,Transfer,Cancelled
O500118,2024-09-10 19:00:00,C10224,Mobile App,Transfer,Cancelled
O500119,2024-06-10 02:00:00,C10504,Web,Credit Card,Completed
O500120,2025-05-13 04:00:00,C10072,Web,Debit Card,Completed
O500121,2024-08-30 10:00:00,C10248,WhatsApp,Debit Card,Completed
O500122,2024-04-02 14:00:00,C10510,Instagram,MercadoPago,Completed
O500123,2024-04-26 08:00:00,C10602,Mobile App,Credit Card,Completed
O500124,2025-02-16 01:00:00,C10215,Marketplace,Credit Card,Completed
O500125,2025-07-26 04:00:00,C10601,Mobile App,Credit Card,Completed
O500126,2025-04-30 14:00:00,C10540,Web,Credit Card,Completed
O500127,2024-06-18 07:00:00,C10816,Web,Credit Card,Completed
O500128,2024-03-04 12:00:00,C10219,Web,MercadoPago,Pending
O500129,2025-06-23 16:00:00,C10839,Mobile App,Debit Card,Completed
O500130,2024-12-08 16:00:00,C10726,Web,MercadoPago,Cancelled
O500131,2024-09-15 06:00:00,C10220,Web,MercadoPago,Completed
O500132,2024-06-16 17:00:00,C10388,Marketplace,Credit Card,Completed
O500133,2024-04-16 22:00:00,C10553,Mobile App,Debit Card,Completed
O500134,2024-04-26 19:00:00,C10646,Mobile App,Credit Card,Completed
O500135,2025-05-18 16:00:00,C10041,Instagram,MercadoPago,Completed
O500136,2024-06-03 13:00:00,C10675,Web,Credit Card,Completed
O500137,2024-09-13 11:00:00,C10872,Mobile App,Credit Card,Completed
O500138,2025-07-30 15:00:00,C10282,marketplace,Credit Card,Completed
O500139,2024-01-30 23:00:00,C10057,Mobile App,Debit Card,Completed
O500140,2024-09-28 12:00:00,C10813,Web,Credit Card,Completed
O500141,2024-07-09 19:00:00,C10833,Web,Credit Card,Completed
O500142,2024-02-10 12:00:00,C10536,Instagram,MercadoPago,Refunded
O500143,2024-06-03 22:00:00,C10072,Mobile App,MercadoPago,Completed
O500144,2024-11-04 03:00:00,C10884,Instagram,Credit Card,Completed
O500145,2024-07-02 10:00:00,C10128,mobile app,Debit Card,Completed
O500146,2024-07-08 16:00:00,C10598,Mobile App,MercadoPago,Pending
O500147,2024-04-01 23:00:00,C10841,Marketplace,Credit Card,Completed
O500148,2024-07-03 10:00:00,C10425,Mobile App,MercadoPago,Completed
O500149,2024-10-15 07:00:00,C10664,Web,Credit Card,Completed
O500150,2025-06-05 08:00:00,C10693,Mobile App,Transfer,Completed
O500151,2025-04-12 14:00:00,C10124,Marketplace,Debit Card,Completed
O500152,2025-05-05 07:00:00,C10066,Web,Debit Card,Completed
O500153,2025-07-27 15:00:00,C10005,Web,MercadoPago ,Completed
O500154,2025-04-16 04:00:00,C10636,Web,Credit Card,Completed
O500155,2025-04-23 05:00:00,C10313,Instagram,Credit Card,Refunded
O500156,2025-07-11 02:00:00,C10325,Web,Debit Card,Completed
O500157,2025-01-03 03:00:00,C10564,Mobile App,MercadoPago,Completed
O500158,2025-06-21 15:00:00,C10577,Web,Credit Card,Completed
O500159,2024-12-15 10:00:00,C10825,Web,MercadoPago,Completed
O500160,2025-05-22 20:00:00,C10505,Mobile App,Credit Card,Pending
O500161,2024-12-27 16:00:00,C10081,web,Credit Card,Completed
O500162,2024-04-01 20:00:00,C10598,Mobile App,MercadoPago,Completed
O500163,2025-03-28 01:00:00,C10001,Marketplace,Credit Card,Completed
O500164,2024-08-10 17:00:00,C10203,Marketplace,Debit Card,Cancelled
O500165,2024-05-16 12:00:00,C10661,Web,Credit Card,Completed
O500166,2024-02-15 22:00:00,C10804,Instagram,Credit Card,Completed
